Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,AltTitle.other,Title,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription-NO,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title,Program,IIIF Manifest URL
ark:/21198/z1ms9cf6,,,Collection,,,,,,The Lamis abu Nahleh Collection,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1ms9cf6
ark:/13030/m5xt3mgw,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0001,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,نساء وأطفال من عائلة لميس أبو نحلة,Lamis Abu Nahleh's Family,A black-and-white photograph capturing Lamis Abu Nahleh's family. |~|(صورة غير ملونة، يظهر فيها مجموعة نساء وأطفال من عائلة لميس أبو نحلة. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,,black-and-white photographs,ara,still image,,,,"[31.952162,35.233154]",,ميشيل عصام القدس خليل فيروز|~|Fairuz Michelle ʿiṣam Al-Quds Khalil Fairuz,image/jpeg,1280.0,1597.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/80588_ca_object_representations_media_164339_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/71898_ca_object_representations_media_164339_original.jpg,https://palarchive.org/index.php/Detail/objects/184405/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:43,10 March 2021 at 15:46:44,A black-and-white photograph capturing Lamis Abu Nahleh's family.,(صورة غير ملونة، يظهر فيها مجموعة نساء وأطفال من عائلة لميس أبو نحلة. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,ميشيل عصام القدس خليل فيروز,Fairuz Michelle ʿiṣam Al-Quds Khalil Fairuz,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5xt3mgw/manifest
ark:/13030/m53k14zr,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0002,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,مجموعة أشخاص في احتفال,A Photograph of People Gathered at a Ceremony,A black-and-white photograph of people gathered at a ceremony.|~|(صورة غير ملونة، يظهر فيها مجموعة أشخاص في خيمة اثناء الاحتفال. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,1798.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/25732_ca_object_representations_media_164341_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/94285_ca_object_representations_media_164341_original.jpg,https://palarchive.org/index.php/Detail/objects/184406/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:43,10 March 2021 at 15:46:45,A black-and-white photograph of people gathered at a ceremony.,(صورة غير ملونة، يظهر فيها مجموعة أشخاص في خيمة اثناء الاحتفال. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm53k14zr/manifest
ark:/13030/m5zt0njc,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0003,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,رجال ونساء من عائلة لميس أبو نحلة,A Photograph of Lamis abu Nahleh's Family,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows her family.   |~|(صورة غير ملونة، يظهر فيها رجال ونساء من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة",,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,1757.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/14703_ca_object_representations_media_164342_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/84476_ca_object_representations_media_164342_original.jpg,https://palarchive.org/index.php/Detail/objects/184407/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:43,10 March 2021 at 15:46:45,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows her family.",(صورة غير ملونة، يظهر فيها رجال ونساء من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5zt0njc/manifest
ark:/13030/m5vx87jj,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0004,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,رجال وأطفال من عائلة لميس أبو نحلة,A Photograph of Lamis abu Nahleh's Family,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows her family.   |~|(صورة غير ملونة، يظهر فيها رجال وأطفال من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميت أبو نحلة (لا تتوفر عنهم أي معلومة",,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,1686.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/41629_ca_object_representations_media_164343_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/61656_ca_object_representations_media_164343_original.jpg,https://palarchive.org/index.php/Detail/objects/184408/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:44,10 March 2021 at 15:46:45,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows her family.",(صورة غير ملونة، يظهر فيها رجال وأطفال من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميت أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vx87jj/manifest
ark:/13030/m5ds0mgr,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0005,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,مجموعة اطفال من عائلة السيدة لميس أبو نحلة,A Photograph of Children from Lamis abu Nahleh's Family,A black-and-white photograph of children from Lamis abu Nahleh's family. |~|(صورة غير ملونة، يظهر فيها مجموعة اطفال من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميت أبو نحلة (لا تتوفر عنهم أي معلومة,,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,1679.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/56756_ca_object_representations_media_164344_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/93916_ca_object_representations_media_164344_original.jpg,https://palarchive.org/index.php/Detail/objects/184409/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:44,10 March 2021 at 15:46:45,A black-and-white photograph of children from Lamis abu Nahleh's family.,(صورة غير ملونة، يظهر فيها مجموعة اطفال من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميت أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5ds0mgr/manifest
ark:/13030/m5c03z1z,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0006,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,مجموعة اشخاص,A Photograph of a Group of People,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows a group of people.|~|(صورة غير ملونة، يظهر فيها مجموعة أشخاص. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة",,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,1778.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/97585_ca_object_representations_media_164345_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/5720_ca_object_representations_media_164345_original.jpg,https://palarchive.org/index.php/Detail/objects/184410/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:44,10 March 2021 at 15:46:46,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows a group of people.",(صورة غير ملونة، يظهر فيها مجموعة أشخاص. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5c03z1z/manifest
ark:/13030/m577369m,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0007,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,طفلتان من عائلة السيدة لميس أبو نحلة,A Photograph of Two Children from Lamis abu Nahleh's Family,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows two children from her family.   |~|(صورة غير ملونة، تظهر فيها طفلتين من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة",,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,906.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/72980_ca_object_representations_media_164346_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/80408_ca_object_representations_media_164346_original.jpg,https://palarchive.org/index.php/Detail/objects/184411/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:44,10 March 2021 at 15:46:46,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows two children from her family.",(صورة غير ملونة، تظهر فيها طفلتين من عائلة السيدة لميس أبو نحلة. وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm577369m/manifest
ark:/13030/m51k72rw,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0008,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,رجال ونساء وأطفال من عائلة لميس أبو نحلة,A Photograph of Lamis abu Nahleh's Family,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows her family.   |~|(صورة غير ملونة، يظهر فيها رجال  ونساء وأطفال من عائلة لميس أبو نحلة . وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة",,black-and-white photographs,ara,still image,,,,,,,image/jpeg,1280.0,1789.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/12893_ca_object_representations_media_164347_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/44375_ca_object_representations_media_164347_original.jpg,https://palarchive.org/index.php/Detail/objects/184412/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:44,10 March 2021 at 15:46:46,"Found in the Lamis abu Nahleh Collection, this black-and-white photograph shows her family.",(صورة غير ملونة، يظهر فيها رجال  ونساء وأطفال من عائلة لميس أبو نحلة . وجدت في مجموعة لميس أبو نحلة (لا تتوفر عنهم أي معلومة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm51k72rw/manifest
ark:/13030/m5v19wvv,ark:/21198/z1ms9cf6,,Work,262.0,0262.01.0009,The Lamis abu Nahleh Collection,Lamis abu Nahleh Sub-collection 1: Photographs,يعقوب أبو نخلة  وعائلته,Yaʿqub Abu Nakhleh with His Family,A black-and-white photograph showing Yaʿqub Abu Nakhleh with his family. |~|صورة غير ملونة يظهر فيها يعقوب أبو نحلة وعائلته. وجدت في مجموعة لميس أبو نحلة,,black-and-white photographs,ara,still image,,,,"[31.952162,35.233154]",,السيد يعقوب ابة نحلة المحترم,image/jpeg,1280.0,1804.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/41719_ca_object_representations_media_164348_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/3/76123_ca_object_representations_media_164348_original.jpg,https://palarchive.org/index.php/Detail/objects/184413/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,medium; 225,No,The Lamis abu Nahleh Collection | Lamis abu Nahleh Sub-collection 1: Photographs,30 September 2019 at 13:36:44,10 March 2021 at 15:46:46,A black-and-white photograph showing Yaʿqub Abu Nakhleh with his family.,صورة غير ملونة يظهر فيها يعقوب أبو نحلة وعائلته. وجدت في مجموعة لميس أبو نحلة,black-and-white photographs,السيد يعقوب ابة نحلة المحترم,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5v19wvv/manifest
