Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z14f798k,,,Collection,,,,,The Adnan Zubaidy Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m53567wv,ark:/21198/z14f798k,,Work,135.0,0135.01.0001|~|133334|~|65364_ca_object_representations_media_101475_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي بعنوان ""أبو جهاد""","An Artwork by ‘adnan Zubaydy entitled ""Abu Jihad""","A colour photograph of an artwork by ‘adnan Zubaydy entitled ""Abu Jihad"". The phrase ""A compass that doesn't point to Jerusalem is a broken compass"" is written on the painting|~|لوحة للفنان عدنان الزبيدي بعنوان ""أبو جهاد""، كُتب على اللوحة ""بوصلة لا تشير إلى القدس مشبوهة.","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,1993; Date created,1993,,"[31.952162,35.233154]",,بوصلة لا تشير إلى القدس مشبوهة|~|A compass that doesn't point to Jerusalem is a broken compass,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/82035_ca_object_representations_media_101475_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/65364_ca_object_representations_media_101475_original.jpg,https://palarchive.org/index.php/Detail/objects/133334/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:19,9 March 2021 at 11:23:33,"A colour photograph of an artwork by ‘adnan Zubaydy entitled ""Abu Jihad"". The phrase ""A compass that doesn't point to Jerusalem is a broken compass"" is written on the painting","لوحة للفنان عدنان الزبيدي بعنوان ""أبو جهاد""، كُتب على اللوحة ""بوصلة لا تشير إلى القدس مشبوهة.",color slides,بوصلة لا تشير إلى القدس مشبوهة,A compass that doesn't point to Jerusalem is a broken compass,
ark:/13030/m56x70kt,ark:/21198/z14f798k,,Work,135.0,0135.01.0002|~|133335|~|31100_ca_object_representations_media_101476_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان زبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/21987_ca_object_representations_media_101476_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/31100_ca_object_representations_media_101476_original.jpg,https://palarchive.org/index.php/Detail/objects/133335/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:19,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
ark:/13030/m5zd5rdk,ark:/21198/z14f798k,,Work,135.0,0135.01.0003|~|133336|~|39007_ca_object_representations_media_101477_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي بعنوان لا تصالح على الدم حتى بدم""","An Artwork by ‘adnan Zubaydy entitled ""Blood Doesn’t Become Water""","An Artwork by ‘adnan Zubaydy entitled ""Blood Doesn’t Become Water""|~|لوحة للفنان عدنان الزبيدي بعنوان لا تصالح على الدم حتى بدم"".","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,,,لا تثالح على الدم حتى بدم|~|Blood Doesn’t Become Water,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/16100_ca_object_representations_media_101477_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/39007_ca_object_representations_media_101477_original.jpg,https://palarchive.org/index.php/Detail/objects/133336/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,"An Artwork by ‘adnan Zubaydy entitled ""Blood Doesn’t Become Water""","لوحة للفنان عدنان الزبيدي بعنوان لا تصالح على الدم حتى بدم"".",color slides,لا تثالح على الدم حتى بدم,Blood Doesn’t Become Water,
ark:/13030/m5tn50mb,ark:/21198/z14f798k,,Work,135.0,0135.01.0004|~|133337|~|3352_ca_object_representations_media_101478_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy containing the names of Palestinian cities|~|لوحة للفنان عدنان الزبيدي تتضمن أسماء المدن الفلسطينية.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/63651_ca_object_representations_media_101478_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/3352_ca_object_representations_media_101478_original.jpg,https://palarchive.org/index.php/Detail/objects/133337/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy containing the names of Palestinian cities,لوحة للفنان عدنان الزبيدي تتضمن أسماء المدن الفلسطينية.,color slides,,,
ark:/13030/m59q0q5b,ark:/21198/z14f798k,,Work,135.0,0135.01.0005|~|133338|~|86260_ca_object_representations_media_101479_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/74436_ca_object_representations_media_101479_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/86260_ca_object_representations_media_101479_original.jpg,https://palarchive.org/index.php/Detail/objects/133338/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
ark:/13030/m5pw47tq,ark:/21198/z14f798k,,Work,135.0,0135.01.0006|~|133339|~|74920_ca_object_representations_media_101480_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي بعنوان ""الفلّاحة الساحورية""","An Artwork by ‘adnan Zubaydy entitled ""The Charming Farmer""","An Artwork by ‘adnan Zubaydy entitled ""The Charming Farmer""|~|لوحة للفنان عدنان الزبيدي بعنوان ""الفلّاحة الساحورية"".","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/88602_ca_object_representations_media_101480_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/74920_ca_object_representations_media_101480_original.jpg,https://palarchive.org/index.php/Detail/objects/133339/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,"An Artwork by ‘adnan Zubaydy entitled ""The Charming Farmer""","لوحة للفنان عدنان الزبيدي بعنوان ""الفلّاحة الساحورية"".",color slides,,,
ark:/13030/m5fg1fv6,ark:/21198/z14f798k,,Work,135.0,0135.01.0007|~|133340|~|93076_ca_object_representations_media_101481_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي بمناسبة مرور 100 عام على انتفاضة عمّال شيكاغو,An Artwork by ‘adnan Zubaydy on the 100th anniversary of the Labor revolt; in Chicago,An Artwork by ‘adnan Zubaydy on the 100th anniversary of the Labor revolt; in Chicago|~|لوحة للفنان عدنان الزبيدي بمناسبة مرور 100 عام على انتفاضة عمّال شيكاغو.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/68210_ca_object_representations_media_101481_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/93076_ca_object_representations_media_101481_original.jpg,https://palarchive.org/index.php/Detail/objects/133340/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy on the 100th anniversary of the Labor revolt; in Chicago,لوحة للفنان عدنان الزبيدي بمناسبة مرور 100 عام على انتفاضة عمّال شيكاغو.,color slides,,,
ark:/13030/m55x9zdm,ark:/21198/z14f798k,,Work,135.0,0135.01.0008|~|133341|~|17318_ca_object_representations_media_101482_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي ضمن معرض ""تشكيل الطبيعة"" عام 2000","An Artwork by ‘adnan Zubaydy showcased at ""Nature Formation"" exhibition, 2000","An Artwork by ‘adnan Zubaydy showcased at ""Nature Formation"" exhibition, 2000|~|لوحة للفنان عدنان الزبيدي ضمن معرض ""تشكيل الطبيعة"" عام 2000.","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,2000; Date created,2000,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/3381_ca_object_representations_media_101482_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/17318_ca_object_representations_media_101482_original.jpg,https://palarchive.org/index.php/Detail/objects/133341/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,"An Artwork by ‘adnan Zubaydy showcased at ""Nature Formation"" exhibition, 2000","لوحة للفنان عدنان الزبيدي ضمن معرض ""تشكيل الطبيعة"" عام 2000.",color slides,,,
ark:/13030/m5k43h5m,ark:/21198/z14f798k,,Work,135.0,0135.01.0009|~|133342|~|698_ca_object_representations_media_101483_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/8886_ca_object_representations_media_101483_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/698_ca_object_representations_media_101483_original.jpg,https://palarchive.org/index.php/Detail/objects/133342/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
