Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,AltTitle.other,Title,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription-NO,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title,Program,IIIF Manifest URL
ark:/21198/z1vb3tqk,,,Collection,,,,,,The Zahra Ahmad Abbas Collection,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1vb3tqk
ark:/13030/m5744h13,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0001,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~|صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,830.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/91348_ca_object_representations_media_164730_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/53807_ca_object_representations_media_164730_original.jpg,https://palarchive.org/index.php/Detail/objects/184704/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:30,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5744h13/manifest
ark:/13030/m53c3r7g,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0002,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~|صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,834.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/46625_ca_object_representations_media_164732_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/61840_ca_object_representations_media_164732_original.jpg,https://palarchive.org/index.php/Detail/objects/184705/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:31,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm53c3r7g/manifest
ark:/13030/m5tv2h0d,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0003,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~|صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,1060.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/19111_ca_object_representations_media_164734_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/36413_ca_object_representations_media_164734_original.jpg,https://palarchive.org/index.php/Detail/objects/184706/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:31,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5tv2h0d/manifest
ark:/13030/m5zm37r5,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0004,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~|صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,857.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/11563_ca_object_representations_media_164735_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/67044_ca_object_representations_media_164735_original.jpg,https://palarchive.org/index.php/Detail/objects/184707/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:31,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5zm37r5/manifest
ark:/13030/m5q31rbw,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0005,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~|صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,828.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/69604_ca_object_representations_media_164737_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/54582_ca_object_representations_media_164737_original.jpg,https://palarchive.org/index.php/Detail/objects/184708/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:32,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5q31rbw/manifest
ark:/13030/m5xm66kb,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0006,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة امرأة وطفل,A Photograph of a Woman and a Child,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~|صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,942.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/53527_ca_object_representations_media_164739_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/65315_ca_object_representations_media_164739_original.jpg,https://palarchive.org/index.php/Detail/objects/184709/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:32,"Captured in black-and-white, this photograph was found among the collection of Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5xm66kb/manifest
ark:/13030/m52c6q2n,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0008,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~|صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,1780.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/15505_ca_object_representations_media_164742_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/19786_ca_object_representations_media_164742_original.jpg,https://palarchive.org/index.php/Detail/objects/184711/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:32,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm52c6q2n/manifest
ark:/13030/m5647fsz,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0009,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة لمجموعة رجال ونساء,A Group Photograph of Both Men and Women,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~|صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,1757.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/97329_ca_object_representations_media_164743_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/24002_ca_object_representations_media_164743_original.jpg,https://palarchive.org/index.php/Detail/objects/184712/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:11,10 March 2021 at 15:48:33,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5647fsz/manifest
ark:/13030/m5fn8z85,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0010,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة رجل كبير في السن وطفلة,A Photograph of an Old Man Accompanied by a Child,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~|صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,919.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/76965_ca_object_representations_media_164744_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/26280_ca_object_representations_media_164744_original.jpg,https://palarchive.org/index.php/Detail/objects/184713/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:12,10 March 2021 at 15:48:33,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5fn8z85/manifest
ark:/13030/m59w86k8,ark:/21198/z1vb3tqk,,Work,269.0,0269.01.0011,The Zahra Ahmad Abbas Collection,Zahra Ahmad Abbas Sub-collection 1: Photographs,صورة لامرأتين,A Photograph of Two Women,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~|صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History|~|Women,,image/jpeg,1280.0,1776.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/75288_ca_object_representations_media_164745_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/26904_ca_object_representations_media_164745_original.jpg,https://palarchive.org/index.php/Detail/objects/184714/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,The Zahra Ahmad Abbas Collection | Zahra Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:12,10 March 2021 at 15:48:33,"A colour photograph found among the collection of  Zahra Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة زهرة أحمد عباس،من أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm59w86k8/manifest
