Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,AltTitle.other,Title,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription-NO,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title,Program,IIIF Manifest URL
ark:/21198/z1z667mw,,,Collection,,,,,,The Ali Mousa Alyan Collection,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1z667mw
ark:/13030/m5mq2v3n,ark:/21198/z1z667mw,,Work,241.0,0241.01.0001,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,علي موسى عليان وزجته نجية عليان واطفالهم,Ali Musa ʿLayan with His Wife Najeyyeh ʿLayan and Children,"Taken on 14/11/1967, this black-and-white photograph shows Ali Musa ʿLayan with his wife Najeyyeh ʿLayan and children on a trip to Hebron.|~|صورة غير ملونة، يظهر فيها علي موسى عليان وزوجته نجية عليان واطفالهم اثناء زيارتهم الى مدينة الخليل بتاريخ 14/11/1967",,black-and-white photographs,,still image,14 November 1967; Date created,1967-11-14,,"[31.532569,35.099826]",,,image/jpeg,4300.0,3320.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/32938_ca_object_representations_media_150704_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/26140_ca_object_representations_media_150704_original.jpg,https://palarchive.org/index.php/Detail/objects/183246/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:35,"Taken on 14/11/1967, this black-and-white photograph shows Ali Musa ʿLayan with his wife Najeyyeh ʿLayan and children on a trip to Hebron.",صورة غير ملونة، يظهر فيها علي موسى عليان وزوجته نجية عليان واطفالهم اثناء زيارتهم الى مدينة الخليل بتاريخ 14/11/1967,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5mq2v3n/manifest
ark:/13030/m5w45n5t,ark:/21198/z1z667mw,,Work,241.0,0241.01.0002,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,"""صورة شخصية ""لسميح محمد حسن",A Portrait of Samih Muhammad Hasan,A black-and-white photograph of Ali Musa ʿLayan's brother-in-law Samih Muhammad Hasan.|~|.صورة ملونة، يظهر فيها سميح محمد حسن شقيق ام شكري زوجة علي موسى عليان,,color photographs,,still image,1980; Date created,1980,,,,,image/jpeg,1426.0,1033.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/27514_ca_object_representations_media_150706_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/17121_ca_object_representations_media_150706_original.jpg,https://palarchive.org/index.php/Detail/objects/183247/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan's brother-in-law Samih Muhammad Hasan.,.صورة ملونة، يظهر فيها سميح محمد حسن شقيق ام شكري زوجة علي موسى عليان,color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5w45n5t/manifest
ark:/13030/m5rc4wf3,ark:/21198/z1z667mw,,Work,241.0,0241.01.0003,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,"""صورة شخصية"" لسميح محمد حسن",A Portrait of Samih Muhammad Hasan,A black-and-white photograph of Ali Musa ʿLayan's brother-in-law Samih Muhammad Hasan in Kuwait.|~|.صورة غير ملونة، يظهر فيها سميح محمد حسن شقيق ام شكري زوجة علي موسى عليان اثناء تواجده في الكويت,,black-and-white photographs,,still image,1970 to 1975; Date created,1970/1975,,,,,image/jpeg,3163.0,2369.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/14739_ca_object_representations_media_150707_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/24256_ca_object_representations_media_150707_original.jpg,https://palarchive.org/index.php/Detail/objects/183248/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan's brother-in-law Samih Muhammad Hasan in Kuwait.,.صورة غير ملونة، يظهر فيها سميح محمد حسن شقيق ام شكري زوجة علي موسى عليان اثناء تواجده في الكويت,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5rc4wf3/manifest
ark:/13030/m5gz23dr,ark:/21198/z1z667mw,,Work,241.0,0241.01.0004,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,"""صورة شخصية ""لسميح محمد حسن",A Portrait of Samih Muhammad Hasan,A black-and-white photograph of Ali Musa ʿLayan's brother-in-law Samih Muhammad Hasan.|~|.صورة غير ملونة، يظهر فيها سميح محمد حسن شقيق ام شكري زوجة علي موسى عليان,,black-and-white photographs,,still image,,,,,,,image/jpeg,4056.0,2845.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/35478_ca_object_representations_media_150708_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/37604_ca_object_representations_media_150708_original.jpg,https://palarchive.org/index.php/Detail/objects/183249/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan's brother-in-law Samih Muhammad Hasan.,.صورة غير ملونة، يظهر فيها سميح محمد حسن شقيق ام شكري زوجة علي موسى عليان,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5gz23dr/manifest
ark:/13030/m5v48m2w,ark:/21198/z1z667mw,,Work,241.0,0241.01.0005,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,"""صورة شخصية ""لموسى علي موسى عليان",A Portrait of Musa Ali Musa ʿLayan,"A black-and-white photograph of Musa Ali Musa ʿLayan, the 1970s.|~|.صورة غير ملونة، يظهر فيها موسى علي موسى عليان في السبعينات",,black-and-white photographs,,still image,1970; Date created,1970,,,,,image/jpeg,3648.0,2747.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/34861_ca_object_representations_media_150710_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/96680_ca_object_representations_media_150710_original.jpg,https://palarchive.org/index.php/Detail/objects/183250/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:36,"A black-and-white photograph of Musa Ali Musa ʿLayan, the 1970s.",.صورة غير ملونة، يظهر فيها موسى علي موسى عليان في السبعينات,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5v48m2w/manifest
ark:/13030/m5c61br7,ark:/21198/z1z667mw,,Work,241.0,0241.01.0006,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,علي موسى عليان,A Photograph of Ali Musa ʿLayan,A black-and-white photograph of Ali Musa ʿLayan.|~|.صورة غير ملونة، يظهر فيها علي موسى عليان,,black-and-white photographs,,still image,,,,,,,image/jpeg,3689.0,5226.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/32121_ca_object_representations_media_150711_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/9152_ca_object_representations_media_150711_original.jpg,https://palarchive.org/index.php/Detail/objects/183251/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan.,.صورة غير ملونة، يظهر فيها علي موسى عليان,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5c61br7/manifest
ark:/13030/m57f0m1x,ark:/21198/z1z667mw,,Work,241.0,0241.01.0007,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,نجية عليان زوجة علي موسى عليان,A Portrait of Ali Musa ʿLayan's Wife Najeyyeh ʿLayan,A black-and-white photograph of Ali Musa ʿLayan's wife Najeyyeh ʿLayan.|~|.صورة غير ملونة، تظهر فيها ام شكري زوجة علي موسى عليان,,black-and-white photographs,,still image,,,,,,,image/jpeg,3600.0,2725.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/64352_ca_object_representations_media_150712_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/61222_ca_object_representations_media_150712_original.jpg,https://palarchive.org/index.php/Detail/objects/183252/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:55,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan's wife Najeyyeh ʿLayan.,.صورة غير ملونة، تظهر فيها ام شكري زوجة علي موسى عليان,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm57f0m1x/manifest
ark:/13030/m53n9v86,ark:/21198/z1z667mw,,Work,241.0,0241.01.0008,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,صورة مدرسية لابناء علي موسى عليان وزملائهم,A Photograph of Ali Musa ʿLayan's Children with Colleagues at School,A black-and-white photograph of Ali Musa ʿLayan's children with their colleagues at school.|~|.صورة غير ملونة، يظهر فيها ابناء علي موسى عليان زملائهم في المدرسة.,,black-and-white photographs,,still image,,,,,,,image/jpeg,3461.0,5086.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/80891_ca_object_representations_media_150713_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/51990_ca_object_representations_media_150713_original.jpg,https://palarchive.org/index.php/Detail/objects/183253/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:56,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan's children with their colleagues at school.,.صورة غير ملونة، يظهر فيها ابناء علي موسى عليان زملائهم في المدرسة.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm53n9v86/manifest
ark:/13030/m5qg6jq1,ark:/21198/z1z667mw,,Work,241.0,0241.01.0009,The Ali Mousa Alyan Collection,Ali Mousa Alyan Sub-collection 1: Photographs,صورة مدرسية لابناء علي موسى عليان وزملائهم,A Photograph of Ali Musa ʿLayan's Children with Colleagues at School,A black-and-white photograph of Ali Musa ʿLayan's children with their colleagues at school.|~|.صورة غير ملونة، يظهر فيها ابناء علي موسى عليان وملائهم في المدرسة,,black-and-white photographs,,still image,,,,,,,image/jpeg,3718.0,5183.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/63613_ca_object_representations_media_150714_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/7/61577_ca_object_representations_media_150714_original.jpg,https://palarchive.org/index.php/Detail/objects/183254/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,,,Ali Mousa Alyan Sub-collection 1: Photographs | The Ali Mousa Alyan Collection,30 September 2019 at 13:34:56,6 September 2022 at 12:15:36,A black-and-white photograph of Ali Musa ʿLayan's children with their colleagues at school.,.صورة غير ملونة، يظهر فيها ابناء علي موسى عليان وملائهم في المدرسة,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5qg6jq1/manifest
