Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1102nxx,,,Collection,,,,,The Arab Institute - Abu Dis Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5kt46v4,ark:/21198/z1102nxx,,Work,72.0,0072.02.0001|~|116287|~|7723_ca_object_representations_media_105337_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,مقدمة تعريفية عن مدرسة المعهد العربي,An Introduction about the Arab Institute,"A document consists of two pages, it includes an introduction about the Arab Insitute.|~|وثيقة مكونة من صفحتين تتضمن مقدمة تعريفية بمدرسة المعهد العربي.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,,,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/5/3/75256_ca_object_representations_media_105337_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/5/3/7723_ca_object_representations_media_105337_original.jpg,https://palarchive.org/index.php/Detail/objects/116287/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:21,9 March 2021 at 11:30:20,"A document consists of two pages, it includes an introduction about the Arab Insitute.",وثيقة مكونة من صفحتين تتضمن مقدمة تعريفية بمدرسة المعهد العربي.,,,,
ark:/13030/m5vb5qc3,ark:/21198/z1102nxx,,Work,72.0,0072.02.0002|~|116288|~|73724_ca_object_representations_media_100347_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,مخطط بناء مدرسة المعهد العربي,The Arab Institute Construction Scheme,"وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام K, J.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions K and J.|~|وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام K, J.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions K and J.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,22 May 1962; Date created,1962-05-22,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/46814_ca_object_representations_media_100347_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/73724_ca_object_representations_media_100347_original.jpg,https://palarchive.org/index.php/Detail/objects/116288/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:21,9 March 2021 at 11:30:20,"وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام K, J.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions K and J.","وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام K, J.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions K and J.",,,,
ark:/13030/m5g23g61,ark:/21198/z1102nxx,,Work,72.0,0072.02.0003|~|116289|~|49054_ca_object_representations_media_100348_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,مخطط بناء مدرسة المعهد العربي,The Arab Institute Construction Scheme,"وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام I, H, G.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions I, H, and G.|~|وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام I, H, G.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions I, H, and G.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,8 May 1962; Date created,1962-05-08,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/4200_ca_object_representations_media_100348_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/49054_ca_object_representations_media_100348_original.jpg,https://palarchive.org/index.php/Detail/objects/116289/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:21,9 March 2021 at 11:30:19,"وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام I, H, G.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions I, H, and G.","وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يظهر في المخطط المبني الرئيسي الذي يشتمل على الأقسام I, H, G.; A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes the main premises, including divisions I, H, and G.",,,,
ark:/13030/m5bd1dtq,ark:/21198/z1102nxx,,Work,72.0,0072.02.0004|~|116290|~|23369_ca_object_representations_media_100349_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,مخطط بناء مدرسة المعهد العربي,The Arab Institute Construction Scheme,"A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes division 5, which comprises the gates and security rooms.|~|وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يوضح المخطط شكل القسم ""5"" الذي يشمل غرف الحرس والبوابات.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,20 June 1962; Date created,1962-06-20,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/41684_ca_object_representations_media_100349_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/23369_ca_object_representations_media_100349_original.jpg,https://palarchive.org/index.php/Detail/objects/116290/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:22,9 March 2021 at 11:30:19,"A one-pager scheme of the Arab Institute- Abu Dis.  Issued in Kuwait in 1962, the scheme includes division 5, which comprises the gates and security rooms.","وثيقة مكونة من صفحة واحدة تتضمن مخطط بناء مدرسة المعهد العربي، صدر المخطط في دولة الكويت عام 1962، يوضح المخطط شكل القسم ""5"" الذي يشمل غرف الحرس والبوابات.",,,,
ark:/13030/m5qk4zkg,ark:/21198/z1102nxx,,Work,72.0,0072.02.0005|~|116291|~|79053_ca_object_representations_media_100350_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,مقال منشور عن مدرسة المعهد العربي,A Published Article Regarding the Arab Insitute,"A one-page document which includes a published article in al-Quds Newspaper written about the ""Arab Institue"" in Abu Dis, this institute contains a department for orphans, this department can accommodate ninety students.  This institute receives three annual scholarships from the state of Kuwait, and receives three scholarships from the faculty of Science and Technology.|~|وثيقة مكونة من صفحة واحدة تتضمن مقال منشور في جريدة القدس عن مدرسة المعهد العربي حملت عنوان ""مدرسة المعهد العربي في ""أبوديس"" تضم قشماً لرعاية الايتام يستوعب تسعين طالبا تحصل سنويا على ست ممنح من الكويت ومن كلية العلوم.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,15 April 1987; Date created,1987-04-15,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/26614_ca_object_representations_media_100350_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/79053_ca_object_representations_media_100350_original.jpg,https://palarchive.org/index.php/Detail/objects/116291/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:22,9 March 2021 at 11:30:19,"A one-page document which includes a published article in al-Quds Newspaper written about the ""Arab Institue"" in Abu Dis, this institute contains a department for orphans, this department can accommodate ninety students.  This institute receives three annual scholarships from the state of Kuwait, and receives three scholarships from the faculty of Science and Technology.","وثيقة مكونة من صفحة واحدة تتضمن مقال منشور في جريدة القدس عن مدرسة المعهد العربي حملت عنوان ""مدرسة المعهد العربي في ""أبوديس"" تضم قشماً لرعاية الايتام يستوعب تسعين طالبا تحصل سنويا على ست ممنح من الكويت ومن كلية العلوم.",,,,
ark:/13030/m56n0p4v,ark:/21198/z1102nxx,,Work,72.0,0072.02.0006|~|116292|~|99331_ca_object_representations_media_100351_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,عدد من جريدة القدس,An al-Quds Newspaper Issue,"A documant featuring an al-Quds newspaper issue, in which a news piece regarding the Arab Institue was published.|~|وثيقة تتضمن عدد من جريدة القدس نشر فيها أخبار عن مدرسة المعهد العربي .","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,2 September 1987; Date created,1987-09-02,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/91094_ca_object_representations_media_100351_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/99331_ca_object_representations_media_100351_original.jpg,https://palarchive.org/index.php/Detail/objects/116292/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:22,9 March 2021 at 11:30:19,"A documant featuring an al-Quds newspaper issue, in which a news piece regarding the Arab Institue was published.",وثيقة تتضمن عدد من جريدة القدس نشر فيها أخبار عن مدرسة المعهد العربي .,,,,
ark:/13030/m52v9xf1,ark:/21198/z1102nxx,,Work,72.0,0072.02.0007|~|116293|~|1891_ca_object_representations_media_100358_original.jpg,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,عدد من جريدة القدس,An al-Quds Newspaper Issue,"A document consists of several pages, which include an issue form al-Quds newspaper, where a piece of news was published regarding the Arab Institue.|~|وثيقة مكونة من عدة صفحات تتضمن عدد من جريدة القدس، نشر فيها أخبار عن مدرسة المعهد العربي.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,18 April 1987; Date created,1987-04-18,,"[31.763582,35.257722]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/82280_ca_object_representations_media_100358_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/1891_ca_object_representations_media_100358_original.jpg,https://palarchive.org/index.php/Detail/objects/116293/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:22,9 March 2021 at 11:30:19,"A document consists of several pages, which include an issue form al-Quds newspaper, where a piece of news was published regarding the Arab Institue.",وثيقة مكونة من عدة صفحات تتضمن عدد من جريدة القدس، نشر فيها أخبار عن مدرسة المعهد العربي.,,,,
ark:/13030/m5x42cr9,ark:/21198/z1102nxx,,Work,72.0,0072.02.0008|~|116294,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,دفتر وقائع جلسات لجنة المدارس الخاصة في القدس,"A Notebook Used to Register the Proceedings of the Private Schools Committee's Session in al- Quds ""Jerusalem""","A document consists of several pages, where the proceedings of the Private Schools Committee's Session are registered, this committee was found in 1985 in the city of al-Quds ""Jerusalem"", it was established to tackle and encounter the oppressive practices and policies of the Israeli Occupation against the educational system in the 1967 Occupied Palestinian Territory.|~|وثيقة مكونة من عدة صفحات تتضمن وقائع جلسات لجنة المدارس الخاصة التي تشكلت في عام 1985 في مدينة القدس وهدفت إلى مواجهة سياسيات القمع الصهوينية لنظام التعليم في الأراضي الفلسطينية المحتلة عام 1967.","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,1985 to 2002; Date created,1985/2002,,"[31.763582,35.257722]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/88085_ca_object_representations_media_100364_preview.jpg,,https://palarchive.org/index.php/Detail/objects/116294/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:23,16 October 2022 at 12:49:08,"A document consists of several pages, where the proceedings of the Private Schools Committee's Session are registered, this committee was found in 1985 in the city of al-Quds ""Jerusalem"", it was established to tackle and encounter the oppressive practices and policies of the Israeli Occupation against the educational system in the 1967 Occupied Palestinian Territory.",وثيقة مكونة من عدة صفحات تتضمن وقائع جلسات لجنة المدارس الخاصة التي تشكلت في عام 1985 في مدينة القدس وهدفت إلى مواجهة سياسيات القمع الصهوينية لنظام التعليم في الأراضي الفلسطينية المحتلة عام 1967.,,,,
ark:/13030/m51w2w8r,ark:/21198/z1102nxx,,Work,72.0,0072.02.0009|~|116295,The Arab Institute - Abu Dis Collection,Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,دفتر ملاحظات معرض مدرسة المعهد العربي,Arab Institute's Exhibitions' Notebook,"A document consists of several pages, it features the visitors' notes regarding the exhibition that was held at the Arab Insititute in 2006.|~|وثيقة مكونن من عدة صفحات تتضمن ملاحظات الزوار على معرض مدرسة المعهد العربي الذي أقيم في عام 2006","Ozrail, Samar, ""The Arab Institute – Abu Dis Collection,"" archival inventory, October 2018, the Palestinian Museum Digital Archive.",,ara,text,2006; Date created,2006,,,,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/0/3/2542_ca_object_representations_media_100365_preview.jpg,,https://palarchive.org/index.php/Detail/objects/116295/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Arab Institute - Abu Dis Collection | Arab Institute - Abu Dis Sub-collection 2: Documents and Papers,24 April 2019 at 13:51:23,16 October 2022 at 12:54:18,"A document consists of several pages, it features the visitors' notes regarding the exhibition that was held at the Arab Insititute in 2006.",وثيقة مكونن من عدة صفحات تتضمن ملاحظات الزوار على معرض مدرسة المعهد العربي الذي أقيم في عام 2006,,,,
