Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,AltTitle.other,Title,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription-NO,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title,Program,IIIF Manifest URL
ark:/21198/z13z3s95,,,Collection,,,,,,The Amer Hlehel Collection,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz13z3s95
ark:/13030/m5vt9gw8,ark:/21198/z13z3s95,,Work,230.0,0230.01.0001,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3229.0,4477.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/67564_ca_object_representations_media_127819_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/10659_ca_object_representations_media_127819_original.jpg,https://palarchive.org/index.php/Detail/objects/166069/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vt9gw8/manifest
ark:/13030/m5cs3j48,ark:/21198/z13z3s95,,Work,230.0,0230.01.0002,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,4477.0,3229.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/44771_ca_object_representations_media_127820_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/74220_ca_object_representations_media_127820_original.jpg,https://palarchive.org/index.php/Detail/objects/166070/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5cs3j48/manifest
ark:/13030/m5s25s86,ark:/21198/z13z3s95,,Work,230.0,0230.01.0003,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3229.0,4498.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/24949_ca_object_representations_media_127821_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/68401_ca_object_representations_media_127821_original.jpg,https://palarchive.org/index.php/Detail/objects/166071/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5s25s86/manifest
ark:/13030/m50m009m,ark:/21198/z13z3s95,,Work,230.0,0230.01.0004,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3229.0,4508.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/2096_ca_object_representations_media_127822_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/74000_ca_object_representations_media_127822_original.jpg,https://palarchive.org/index.php/Detail/objects/166072/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm50m009m/manifest
ark:/13030/m54821mm,ark:/21198/z13z3s95,,Work,230.0,0230.01.0005,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3229.0,4477.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/54606_ca_object_representations_media_127823_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/57590_ca_object_representations_media_127823_original.jpg,https://palarchive.org/index.php/Detail/objects/166073/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm54821mm/manifest
ark:/13030/m5hj48sp,ark:/21198/z13z3s95,,Work,230.0,0230.01.0006,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3229.0,4477.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/92781_ca_object_representations_media_127824_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/48404_ca_object_representations_media_127824_original.jpg,https://palarchive.org/index.php/Detail/objects/166074/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5hj48sp/manifest
ark:/13030/m5715r6k,ark:/21198/z13z3s95,,Work,230.0,0230.01.0007,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3229.0,4519.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/20878_ca_object_representations_media_127825_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/71126_ca_object_representations_media_127825_original.jpg,https://palarchive.org/index.php/Detail/objects/166075/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5715r6k/manifest
ark:/13030/m5r28r4t,ark:/21198/z13z3s95,,Work,230.0,0230.01.0008,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3218.0,4518.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/80181_ca_object_representations_media_127826_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/39158_ca_object_representations_media_127826_original.jpg,https://palarchive.org/index.php/Detail/objects/166076/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5r28r4t/manifest
ark:/13030/m5q31q00,ark:/21198/z13z3s95,,Work,230.0,0230.01.0009,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3208.0,4498.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/18046_ca_object_representations_media_127827_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/65530_ca_object_representations_media_127827_original.jpg,https://palarchive.org/index.php/Detail/objects/166077/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5q31q00/manifest
ark:/13030/m53c3pw5,ark:/21198/z13z3s95,,Work,230.0,0230.01.0010,The Amer Hlehel Collection,Amer Hlehel Sub-collection 1: Photographs,"صورة لعامر حليحل خلال أداء مسرحية ""دياب""","A Photograph of Amer Hlehel on Stage During the Theatrical Performance of ""Diab""","A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".|~|صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".","Amer Hlehel (Palestinian playwright, actor, and director). Interview with the PMDA researcher Majd Sidawi. January - March 2020. Unrecorded. the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,Culture and Arts,,image/jpeg,3208.0,4477.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/39996_ca_object_representations_media_127828_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/7/8/43075_ca_object_representations_media_127828_original.jpg,https://palarchive.org/index.php/Detail/objects/166078/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,,,The Amer Hlehel Collection | Amer Hlehel Sub-collection 1: Photographs,11 September 2019 at 11:47:58,28 April 2021 at 14:30:37,"; A photograph of Palestinian playwright, actor, and director Amer Hlehel on stage during the theatrical performance of one of his own plays titled ""Diab"".","صورة للممثل عامر حليحل على خشبة المسرح خلال العرض المسرحي لمسرحيته ""دياب"".",color photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm53c3pw5/manifest
